Slice #     Area       Radius          Center
   0       16573.3     72.6322      (260.352, 464.537)
   1       19296.1     78.3717      (261.207, 466.146)
   2       17644.2     74.9422      (268.182, 464.389)
   3         19784     79.3564      (250.509, 464.563)
   4       17405.2     74.4329      (270.415, 464.24)
   5       20364.6     80.5125      (271.252, 463.415)
   6       20319.4      80.423      (270.347, 463.513)
   7       19994.1     79.7767      (275.973, 463.457)
   8       18451.4     76.6371      (281.104, 462.127)
   9       22121.4     83.9134      (281.798, 459.553)
  10       23655.4     86.7742      (270.325, 460.43)
  11         21866     83.4277      (277.947, 461.555)
  12       20278.7     80.3425      (285.103, 460.988)
  13       21143.8     82.0383      (294.045, 460.508)
  14       19308.1     78.3963      (293.859, 459.98)
  15       20203.4     80.1932      (297.908, 459.883)
  16       18687.4     77.1259      (303.458, 460.898)
  17       17474.5     74.5809      (303.462, 458.733)
  18       18700.2     77.1521      (301.442, 456.845)
  19       20920.5     81.6039      (304.104, 456.654)
  20       21693.4     83.0977      (307.583, 456.181)
  21       24745.9     88.7518      (302.697, 456.492)
  22       25134.1     89.4451      (310.124, 451.774)
  23       26242.3     91.3957      (301.549, 452.588)
  24       30515.4     98.5563      (294.024, 449.966)
  25       30688.8      98.836      (287.143, 448.03)
  26       30311.5     98.2265      (284.584, 448.269)
  27       30862.2     99.1148      (292.323, 448.418)
  28       25831.3     90.6773      (303.181, 444.177)
  29       29588.8     97.0485      (292.987, 437.165)
  30       27079.5     92.8422      (306.508, 432.204)
  31       27783.3     94.0409      (304.075, 429.791)
  32       28787.2     95.7249      (299.384, 432.551)
  33       26015.6     91.0002      (310.694, 428.447)
  34       27620.6     93.7651      (320.904, 420.397)
  35       26712.8     92.2114      (302.851, 422.079)
  36       28276.3     94.8716      (307.373, 419.207)
  37       26734.4     92.2487      (318.565, 414.287)
  38         26512     91.8641      (315.479, 413.373)
  39       24617.5     88.5212      (326.199, 408.524)
  40       22124.1     83.9186      (322.143, 410.064)
  41       24889.5     89.0089      (322.225, 408.687)
  42       28372.6     95.0331      (314.376, 404.234)
  43       33752.8     103.652      (306.228, 398.43)
  44       34487.8     104.775      (303.155, 400.779)
  45       29352.5     96.6601      (310.013, 400.288)
  46       35291.8     105.989      (308.127, 399.47)
  47       34544.8     104.862      (309.636, 403.328)
  48       28902.1     95.9157      (318.624, 398.149)
  49       27671.1     93.8509      (326.424, 395.667)
  50       32505.5     101.719      (317.458, 393.765)
  51       33020.8     102.522      (312.294, 396.281)
  52       38744.5     111.053      (308.112, 396.737)
  53       37869.6     109.792      (308.265, 399.299)
  54       40170.6     113.078      (303.795, 401.312)
  55         41210     114.532      (304.584, 395.707)
  56       41407.7     114.806      (306.936, 392.548)
  57         43630     117.847      (311.014, 395.98)
  58       37402.5     109.113      (311.77, 400.632)
  59         38530     110.745      (309.705, 395.763)
  60       47052.9     122.382      (300.606, 392.718)
  61       47328.8      122.74      (289.216, 405.745)
  62       48065.3     123.692      (289.767, 401.055)
  63       48629.8     124.416      (301.924, 397.857)
  64       40002.8     112.842      (309.669, 400.414)
  65       41831.6     115.392      (297.399, 394.501)
  66       48542.9     124.305      (306.129, 398.903)
  67       52050.4     128.717      (302.55, 395.811)
  68       48005.2     123.614      (316.249, 407.942)
  69       52833.7     129.682      (301.432, 394.412)
  70       59569.1     137.701      (306.852, 380.522)
  71       58565.2     136.535      (307.641, 391.461)
  72       61243.7     139.623      (309.3, 391.191)
  73       52770.8     129.605      (319.408, 389.852)
  74       57048.5     134.756      (324.103, 382.548)
  75       62267.8     140.785      (316.3, 384.761)
  76       60241.9     138.476      (316.421, 376.669)
  77       61077.2     139.433      (320.644, 389.089)
  78         60850     139.173      (329.718, 388.159)
  79        103694     181.678      (338.502, 319.475)
  80        102414     180.553      (337.19, 324.091)
  81        118054      193.85      (335.36, 301.266)
  82        112698     189.401      (339.789, 290.895)
  83        104303     182.211      (337.648, 318.046)
  84        114004     190.496      (338.423, 297.308)
  85        114847     191.199      (333.37, 304.078)
  86        116056     192.202      (332.363, 305.309)
  87        106730     184.318      (342.608, 311.597)
  88        116624     192.672      (336.847, 285.098)
  89        121169     196.391      (351.946, 292.945)
  90        120266     195.657      (345.659, 289.934)
  91        134099     206.604      (329.678, 290.66)
  92        128820     202.496      (341.464, 279.148)
  93        132255     205.178      (333.565, 281.116)
  94        132242     205.168      (342.471, 269.735)
  95        132029     205.003      (362.555, 258.136)
  96        140676     211.609      (346.212, 267.259)
  97        136625      208.54      (344.526, 271.026)
  98        137437     209.159      (345.882, 251.406)
  99        140519     211.491      (348.555, 242.633)
 100        138275     209.796      (346.645, 278.452)
 101        132693     205.518      (339.93, 276.17)
 102        134367      206.81      (341.349, 267.03)
 103        129446     202.988      (340.917, 280.372)
 104        135561     207.727      (336.678, 249.53)
 105        132740     205.554      (348.672, 239.875)
 106        136472     208.424      (336.674, 252.437)
 107        134834     207.169      (336.467, 241.467)
 108        140281     211.313      (324.151, 240.437)
 109        140792     211.696      (325.599, 226.383)
 110        143439     213.678      (327.063, 233.661)
 111        134977     207.279      (330.402, 223.995)
 112        133007     205.761      (324.863, 222.643)
 113        127199     201.218      (327.416, 212.691)
 114        125029     199.494      (325.899, 227.325)
 115        123194     198.025      (323.418, 215.197)
 116        130314     203.667      (315.844, 226.836)
 117        130795     204.042      (318.313, 239.274)
 118        125548     199.908      (323.714, 214.42)
 119        121226     196.437      (310.92, 208.164)
 120        126455     200.629      (311.166, 209.84)
 121        124260      198.88      (307.632, 190.735)
 122        125867     200.161      (299.823, 199.081)
 123        115929     192.097      (311.429, 182.749)
 124        112048     188.854      (303.66, 184.918)
 125        111115     188.067      (299.071, 196.582)
 126        111938     188.762      (294.141, 195.617)
 127        113931     190.435      (291.734, 193.637)
 128        117668     193.533      (293.131, 203.941)
 129        114088     190.566      (293.186, 195.563)
 130        113403     189.993      (293.578, 184.684)
 131        109380     186.592      (286.383, 164.883)
 132        124418     199.007      (277.415, 203.927)
 133        117835      193.67      (274.532, 202.094)
The volume for these 134 slices is approxiamately 9.48589e+006.
The areas for each individual slice can be found in the file "Areas.txt".
