 	X	Y
1	702	1012
2	815	1015
3	809	1014
4	821	1010
5	818	1022
6	374	1029
7	808	1029
8	842	1021
9	399	999
10	810	999
11	694	935
12	392	1005
13	696	1043
14	845	1044
15	847	1011
16	392	1016
17	656	1024
18	371	1012
19	385	999
20	237	1043
21	715	999
22	848	1017
23	412	1020
24	241	1044
25	703	987
26	407	1026
27	707	1017
28	812	978
29	627	1044
30	669	1046
31	824	993
32	460	1045
33	365	1019
34	407	999
35	698	1020
36	651	1013
37	647	1043
38	632	1027
39	848	1029
40	455	1029
41	710	999
42	615	1002
43	704	1042
44	389	980
45	387	1025
46	663	1026
47	722	1022
48	646	1027
49	692	914
50	400	1028
51	642	1019
52	235	1018
53	391	969
54	669	960
55	617	1018
56	657	1008
57	843	979
58	608	1046
59	652	994
60	289	1014
61	626	1007
62	291	1025
63	827	1043
64	632	1011
65	821	970
66	311	1044
67	675	954
68	651	977
69	821	1049
70	242	1020
71	287	1044
72	403	1011
73	722	1045
74	686	910
75	173	1049
76	273	1013
77	764	1046
78	795	972
79	416	977
