       Z  Symbol      Ka     Ka1     Ka2      Kb     Kb1     Kb2     La1     Lb1     Lb2     Lg1     Lg2     Lg3     Lg4      Ll
       1       H   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
       2      He   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
       3      Li   0.052   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
       4      Be   0.110   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
       5       B   0.185   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
       6       C   0.282   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
       7       N   0.392   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
       8       O   0.523   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
       9       F   0.677   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
      10      Ne   0.851   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
      11      Na   1.041   1.041   1.041   1.071   1.067   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
      12      Mg   1.254   1.253   1.254   1.302   1.297   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
      13      Al   1.487   1.486   1.486   1.557   1.553   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
      14      Si   1.740   1.740   1.739   1.838   1.832   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
      15       P   2.015   2.013   2.014   2.142   2.136   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
      16       S   2.307   2.307   2.306   2.468   2.464   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
      17      Cl   2.622   2.622   2.621   2.817   2.815   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
      18      Ar   2.957   2.957   2.955   3.191   3.192   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
      19       K   3.312   3.313   3.310   3.589   3.589   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
      20      Ca   3.690   3.691   3.688   4.012   4.012   0.000   0.341   0.344   0.000   0.000   0.000   0.000   0.000   0.000
      21      Sc   4.088   4.090   4.085   4.459   4.460   0.000   0.395   0.399   0.000   0.000   0.000   0.000   0.000   0.000
      22      Ti   4.508   4.510   4.504   4.931   4.931   0.000   0.452   0.458   0.000   0.000   0.000   0.000   0.000   0.000
      23       V   4.949   4.951   4.944   5.427   5.427   0.000   0.510   0.519   0.000   0.000   0.000   0.000   0.000   0.000
      24      Cr   5.411   5.414   5.405   5.947   5.946   0.000   0.571   0.581   0.000   0.000   0.000   0.000   0.000   0.000
      25      Mn   5.895   5.898   5.887   6.492   6.490   0.000   0.636   0.647   0.000   0.000   0.000   0.000   0.000   0.000
      26      Fe   6.400   6.403   6.390   7.059   7.057   0.000   0.704   0.717   0.000   0.000   0.000   0.000   0.000   0.000
      27      Co   6.925   6.929   6.915   7.649   7.649   0.000   0.775   0.790   0.000   0.000   0.000   0.000   0.000   0.000
      28      Ni   7.472   7.477   7.460   8.265   8.264   8.328   0.849   0.866   0.000   0.000   0.000   0.000   0.000   0.000
      29      Cu   8.041   8.046   8.027   8.907   8.904   8.976   0.928   0.948   0.000   0.000   0.000   0.000   0.000   0.000
      30      Zn   8.631   8.637   8.615   9.572   9.571   9.657   1.009   1.032   0.000   0.000   0.000   0.000   0.000   0.000
      31      Ga   9.243   9.250   9.234  10.263  10.263  10.365   1.098   1.125   0.000   0.000   0.000   0.000   0.000   0.000
      32      Ge   9.876   9.885   9.854  10.984  10.981  11.100   1.188   1.218   0.000   0.000   0.000   0.000   0.000   0.000
      33      As  10.532  10.542  10.507  11.729  11.725  11.863   1.282   1.317   0.000   0.000   0.000   0.000   0.000   0.000
      34      Se  11.210  11.220  11.181  12.501  12.495  12.651   1.379   1.419   0.000   0.000   0.000   0.000   0.000   0.000
      35      Br  11.907  11.922  11.877  13.296  13.290  13.465   1.480   1.526   0.000   0.000   0.000   0.000   0.000   0.000
      36      Kr  12.630  12.648  12.597  14.120  14.112  14.313   1.586   1.636   0.000   0.000   0.000   0.000   0.000   0.000
      37      Rb  13.375  13.393  13.335  14.971  14.960  15.184   1.694   1.752   0.000   0.000   0.000   0.000   0.000   0.000
      38      Sr  14.142  14.163  14.097  15.849  15.834  16.083   1.806   1.871   0.001   0.000   0.000   0.000   0.000   0.000
      39       Y  14.933  14.956  14.882  16.754  16.736  17.011   1.922   1.995   0.000   0.000   0.000   0.000   0.000   0.000
      40      Zr  15.746  15.772  15.690  17.687  17.665  17.959   2.042   2.124   2.219   2.302   2.503   2.503   0.000   1.792
      41      Nb  16.584  16.612  16.520  18.647  18.621  18.951   2.166   2.257   2.367   2.462   2.664   2.664   0.000   1.902
      42      Mo  17.443  17.476  17.373  19.633  19.607  19.964   2.293   2.394   2.518   2.623   2.831   2.831   0.000   2.016
      43      Tc  18.327  18.364  18.328  20.647  20.585  21.012   2.424   2.536   2.674   2.792   0.000   0.000   0.000   0.000
      44      Ru  19.235  19.276  19.149  21.687  21.655  22.072   2.558   2.683   2.835   2.964   3.181   3.181   0.000   2.253
      45      Rh  20.167  20.213  20.072  22.759  22.721  23.169   2.696   2.834   3.001   3.144   3.364   3.364   0.000   2.377
      46      Pd  21.123  21.174  21.018  23.859  23.816  24.297   2.838   2.990   3.171   3.328   3.553   3.553   0.000   2.503
      47      Ag  22.104  22.159  21.988  24.987  24.942  25.454   2.984   3.150   3.347   3.519   3.743   3.750   0.000   2.634
      48      Cd  23.109  23.170  22.982  26.143  26.093  26.641   3.133   3.316   3.528   3.716   3.951   0.000   0.000   2.767
      49      In  24.139  24.206  24.000  27.382  27.274  27.859   3.286   3.487   3.713   3.920   4.161   4.161   4.237   2.904
